Equipo,puntos,partidos_jugados,goles_favor,goles_contra,home_puntos,home_goles_favor,home_goles_contra,away_puntos,away_goles_favor,away_goles_contra,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,ID_Equipo,nombre,home_partidos_jugados,away_partidos_jugados,statisticsType.sportSlug,statisticsType.statisticsType
Deportivo Alavés,18,15,13,15,14,10,7,4,3,8,13,15,0,5,170,4,4,0,2,11,1,107,63,1,2,9,26,18,16,51,73,46,115,256,79,5,15,1,14,49.133333333333,6289,5076,80.71235490539,2748,2448,89.082969432314,3746,2632,70.261612386546,488,218,44.672131147541,284,64,22.535211267606,3,272,125,34,1,5,1,1,354,1,1,1755,840,47.863247863248,1248,582,46.634615384615,507,258,50.887573964497,2088,37,245,36,1,1,6.7192307692308,1278,2771,2700,5450,26,21,15,372,66,65,258,265,137,2,7,6,122,123,417,817,23,1,167,54,101,66,64,49,54,301,1850,3841,3009,6647,31,293,114,748,196,2885,15,0,2885,Deportivo Alavés,8,7,football,team
Rayo Vallecano,17,15,13,16,7,4,4,10,9,12,13,16,0,10,190,1,2,0,6,12,1,112,78,2,6,5,36,24,25,62,88,40,103,210,92,5,16,2,14,54.2,6653,5572,83.751690966481,3364,3075,91.40903686088,3501,2463,70.351328191945,585,297,50.769230769231,323,60,18.575851393189,5,246,122,39,1,12,3,3,364,3,4,1359,626,46.063281824871,1039,491,47.25697786333,320,135,42.1875,1888,26,210,38,1,3,6.7632034632035,1067,2095,2417,4547,32,21,20,369,81,52,253,257,139,2,10,3,116,124,337,729,13,3,175,57,107,68,60,58,57,213,1612,3114,2707,5674,22,309,123,756,144,2818,15,0,2818,Rayo Vallecano,6,9,football,team
Sevilla,17,15,20,24,7,10,12,10,10,12,20,24,0,13,160,2,2,0,3,12,5,108,52,0,7,10,19,16,12,48,66,46,107,238,77,4,20,5,16,54.2,6381,5196,81.42924306535,3196,2865,89.643304130163,3358,2358,70.220369267421,596,297,49.832214765101,234,68,29.059829059829,3,290,109,46,6,7,5,4,388,0,4,1623,836,51.50955021565,1193,600,50.293378038558,430,236,54.883720930233,1998,44,230,50,0,0,6.7588744588745,944,2011,2178,4170,45,30,27,339,79,53,259,265,118,2,6,2,106,122,281,739,14,1,167,47,121,46,50,70,47,259,1525,3072,2437,5316,32,292,84,746,206,2833,15,0,2833,Sevilla,7,8,football,team
Real Sociedad,16,15,19,22,10,11,11,6,8,11,19,22,1,12,205,3,3,1,7,15,4,128,77,1,9,9,36,31,26,71,74,60,115,250,97,3,12,2,11,52.133333333333,6652,5487,82.486470234516,3038,2732,89.927583936801,3847,2777,72.186119053808,475,221,46.526315789474,297,75,25.252525252525,1,264,109,33,3,4,2,2,351,4,3,1578,773,48.986058301648,1120,538,48.035714285714,458,235,51.310043668122,1980,33,232,35,0,0,6.7514644351464,1162,2393,2646,5041,30,23,16,436,60,46,201,257,128,4,12,8,120,141,407,892,16,3,184,43,113,71,85,56,43,235,1651,3390,2974,6230,37,292,118,677,169,2824,15,0,2824,Real Sociedad,7,8,football,team
Osasuna,15,15,14,18,13,11,8,2,3,10,14,18,0,11,159,2,3,1,6,9,5,108,51,4,6,4,21,15,12,52,67,40,94,214,46,2,12,1,11,46.266666666667,5890,4691,79.643463497453,2727,2421,88.778877887789,3231,2170,67.161869390282,584,276,47.260273972603,274,60,21.897810218978,4,232,109,55,4,2,3,3,417,1,2,1487,753,50.638870208473,994,481,48.390342052314,493,272,55.172413793103,1973,11,195,33,1,3,6.8187772925764,1532,2861,2934,5865,33,26,22,434,63,59,265,224,100,0,8,2,109,148,391,850,38,1,191,47,108,83,70,74,47,235,2093,3864,3218,7003,34,298,129,734,162,2820,15,0,2820,Osasuna,7,8,football,team
Valencia,15,15,14,23,12,10,7,3,4,16,14,23,1,12,160,0,1,0,8,14,0,103,57,3,4,7,29,23,19,44,66,50,102,220,73,5,10,2,8,47.133333333333,6104,4981,81.602228047182,3110,2810,90.353697749196,3157,2150,68.102629078239,543,276,50.828729281768,267,54,20.224719101124,4,231,115,47,3,4,3,2,417,3,10,1341,671,50.037285607755,969,496,51.186790505676,372,175,47.043010752688,1831,21,182,29,0,1,6.725641025641,1450,3134,2750,5881,38,27,26,373,72,55,244,201,80,0,9,4,128,146,379,762,41,4,195,46,124,71,79,70,46,220,1992,4122,3019,6972,34,279,116,656,165,2828,15,0,2828,Valencia,8,7,football,team
Mallorca,14,15,15,22,10,7,8,4,8,14,15,22,0,11,158,2,2,0,4,13,2,94,64,3,8,4,26,21,17,59,66,33,111,223,52,0,8,1,7,44.866666666667,5653,4491,79.444542720679,2691,2379,88.405797101449,3178,2146,67.526746381372,583,276,47.341337907376,266,72,27.067669172932,3,212,103,48,2,5,3,2,432,2,1,1455,751,51.615120274914,989,498,50.353892821031,466,253,54.291845493562,1886,19,173,29,2,3,6.7630901287554,1682,3205,2593,5837,39,31,23,362,99,71,329,206,98,3,5,6,100,153,399,783,25,4,215,62,127,88,82,71,62,236,2233,4258,2867,6930,31,284,119,687,185,2826,15,0,2826,Mallorca,7,8,football,team
Girona FC,12,15,13,29,9,8,14,3,5,15,13,29,0,8,140,3,3,0,4,11,2,89,51,1,0,12,29,21,21,56,39,45,130,276,60,1,11,1,10,46.666666666667,6287,5272,83.855574996024,3397,3091,90.992051810421,3057,2187,71.540726202159,475,226,47.578947368421,210,42,20.0,2,202,123,57,5,12,4,4,395,2,2,1419,706,49.753347427766,1062,526,49.529190207156,357,180,50.420168067227,1746,28,161,32,2,5,6.6763713080169,1743,3400,2958,6312,44,30,23,292,87,92,307,191,104,0,5,8,103,186,303,650,21,1,261,56,170,91,119,86,56,280,2275,4365,3159,7296,21,253,146,644,197,24264,15,0,24264,Girona FC,8,7,football,team
Real Oviedo,10,15,7,22,6,2,10,4,5,12,7,22,0,3,136,1,2,0,2,6,1,84,52,1,3,3,22,12,18,42,62,32,121,234,58,6,14,2,12,44.8,5938,4943,83.243516335466,3379,3047,90.174607872152,2606,1814,69.608595548734,579,313,54.05872193437,241,59,24.48132780083,4,258,110,79,3,13,4,2,437,1,2,1410,739,52.41134751773,1008,527,52.281746031746,402,212,52.73631840796,1690,33,174,31,2,6,6.7714893617021,1918,3608,2892,6565,37,23,23,311,96,78,315,247,114,1,8,6,113,182,307,617,16,1,244,58,152,92,86,100,58,208,2424,4556,3109,7521,20,275,120,637,154,2851,15,0,2851,Real Oviedo,8,7,football,team
Levante UD,9,15,16,28,1,6,16,8,10,12,16,28,2,8,155,1,2,1,5,15,1,104,51,3,3,10,38,27,25,52,56,47,95,208,47,6,16,1,15,41.466666666667,5255,4099,78.001902949572,2461,2160,87.769199512393,2936,1960,66.757493188011,565,232,41.061946902655,198,61,30.808080808081,2,251,121,58,2,8,1,1,448,2,3,1474,721,48.914518317503,1062,516,48.587570621469,412,205,49.757281553398,1891,30,184,33,0,1,6.6970711297071,1703,3504,2902,6404,43,35,26,383,110,94,371,258,113,2,7,6,125,200,388,776,15,2,257,71,176,81,103,83,71,257,2270,4620,3163,7517,32,268,145,685,172,2849,15,0,2849,Levante UD,6,9,football,team
